State,Highway,Exit_Link
"Alabama","I-10","https://www.iexitapp.com/exits/Alabama/I-10/East/648"
"Alabama","I-20","https://www.iexitapp.com/exits/Alabama/I-20/East/667"
"Alabama","I-22","https://www.iexitapp.com/exits/Alabama/I-22/East/101"
"Alabama","I-59","https://www.iexitapp.com/exits/Alabama/I-59/North/662"
"Alabama","I-65","https://www.iexitapp.com/exits/Alabama/I-65/North/656"
"Alabama","I-85","https://www.iexitapp.com/exits/Alabama/I-85/North/715"
"Alabama","I-359","https://www.iexitapp.com/exits/Alabama/I-359/North/329"
"Alabama","I-459","https://www.iexitapp.com/exits/Alabama/I-459/North/552"
"Alabama","I-759","https://www.iexitapp.com/exits/Alabama/I-759/East/331"
"Alabama","I-165","https://www.iexitapp.com/exits/Alabama/I-165/North/337"
"Alabama","I-565","https://www.iexitapp.com/exits/Alabama/I-565/East/341"
"Alaska","No exits found",""
"Arizona","I-10","https://www.iexitapp.com/exits/Arizona/I-10/East/643"
"Arizona","I-15","https://www.iexitapp.com/exits/Arizona/I-15/North/89"
"Arizona","I-40","https://www.iexitapp.com/exits/Arizona/I-40/East/671"
"Arizona","I-8","https://www.iexitapp.com/exits/Arizona/I-8/East/143"
"Arizona","I-17","https://www.iexitapp.com/exits/Arizona/I-17/North/146"
"Arizona","I-19","https://www.iexitapp.com/exits/Arizona/I-19/North/147"
"Arizona","AZ 101","https://www.iexitapp.com/exits/Arizona/AZ%20101/East/495"
"Arizona","AZ 51","https://www.iexitapp.com/exits/Arizona/AZ%2051/North/496"
"Arkansas","I-40","https://www.iexitapp.com/exits/Arkansas/I-40/East/675"
"Arkansas","I-55","https://www.iexitapp.com/exits/Arkansas/I-55/North/116"
"Arkansas","I-30","https://www.iexitapp.com/exits/Arkansas/I-30/East/161"
"Arkansas","I-430","https://www.iexitapp.com/exits/Arkansas/I-430/North/293"
"Arkansas","I-530","https://www.iexitapp.com/exits/Arkansas/I-530/East/294"
"Arkansas","I-630","https://www.iexitapp.com/exits/Arkansas/I-630/East/295"
"Arkansas","I-440","https://www.iexitapp.com/exits/Arkansas/I-440/East/313"
"Arkansas","I-540","https://www.iexitapp.com/exits/Arkansas/I-540/East/316"
"Arkansas","I-49","https://www.iexitapp.com/exits/Arkansas/I-49/North/726"
"Arkansas","I-49","https://www.iexitapp.com/exits/Arkansas/I-49/North/732"
"California","I-10","https://www.iexitapp.com/exits/California/I-10/East/642"
"California","US 101","https://www.iexitapp.com/exits/California/US%20101/North/654"
"California","I-15","https://www.iexitapp.com/exits/California/I-15/North/87"
"California","I-40","https://www.iexitapp.com/exits/California/I-40/East/670"
"California","I-80","https://www.iexitapp.com/exits/California/I-80/East/127"
"California","I-5","https://www.iexitapp.com/exits/California/I-5/North/139"
"California","I-8","https://www.iexitapp.com/exits/California/I-8/East/142"
"California","I-105","https://www.iexitapp.com/exits/California/I-105/East/248"
"California","I-205","https://www.iexitapp.com/exits/California/I-205/North/250"
"California","I-405","https://www.iexitapp.com/exits/California/I-405/North/253"
"California","I-505","https://www.iexitapp.com/exits/California/I-505/North/256"
"California","I-605","https://www.iexitapp.com/exits/California/I-605/North/257"
"California","I-805","https://www.iexitapp.com/exits/California/I-805/North/259"
"California","I-110","https://www.iexitapp.com/exits/California/I-110/East/260"
"California","I-210","https://www.iexitapp.com/exits/California/I-210/East/264"
"California","I-710","https://www.iexitapp.com/exits/California/I-710/North/271"
"California","I-215","https://www.iexitapp.com/exits/California/I-215/North/274"
"California","I-238","https://www.iexitapp.com/exits/California/I-238/East/308"
"California","I-280","https://www.iexitapp.com/exits/California/I-280/North/394"
"California","I-380","https://www.iexitapp.com/exits/California/I-380/East/399"
"California","I-580","https://www.iexitapp.com/exits/California/I-580/East/405"
"California","I-680","https://www.iexitapp.com/exits/California/I-680/North/407"
"California","I-780","https://www.iexitapp.com/exits/California/I-780/East/411"
"California","I-880","https://www.iexitapp.com/exits/California/I-880/North/412"
"California","US 50","https://www.iexitapp.com/exits/California/US%2050/North/497"
"California","CA 99","https://www.iexitapp.com/exits/California/CA%2099/North/498"
"California","CA 60","https://www.iexitapp.com/exits/California/CA%2060/East/499"
"Colorado","I-70","https://www.iexitapp.com/exits/Colorado/I-70/East/66"
"Colorado","I-76","https://www.iexitapp.com/exits/Colorado/I-76/East/77"
"Colorado","I-25","https://www.iexitapp.com/exits/Colorado/I-25/North/153"
"Colorado","I-225","https://www.iexitapp.com/exits/Colorado/I-225/North/286"
"Colorado","I-270","https://www.iexitapp.com/exits/Colorado/I-270/East/345"
"Colorado","E 470","https://www.iexitapp.com/exits/Colorado/E%20470/North/500"
"Connecticut","I-95","https://www.iexitapp.com/exits/Connecticut/I-95/North/621"
"Connecticut","I-84","https://www.iexitapp.com/exits/Connecticut/I-84/East/220"
"Connecticut","I-91","https://www.iexitapp.com/exits/Connecticut/I-91/North/229"
"Connecticut","I-384","https://www.iexitapp.com/exits/Connecticut/I-384/East/418"
"Connecticut","I-291","https://www.iexitapp.com/exits/Connecticut/I-291/North/444"
"Connecticut","I-691","https://www.iexitapp.com/exits/Connecticut/I-691/North/447"
"Connecticut","I-395","https://www.iexitapp.com/exits/Connecticut/I-395/North/472"
"Connecticut","CT 9","https://www.iexitapp.com/exits/Connecticut/CT%209/North/501"
"Connecticut","CT 15","https://www.iexitapp.com/exits/Connecticut/CT%2015/North/730"
"Delaware","I-295","https://www.iexitapp.com/exits/Delaware/I-295/North/640"
"Delaware","I-495","https://www.iexitapp.com/exits/Delaware/I-495/North/650"
"Delaware","I-95","https://www.iexitapp.com/exits/Delaware/I-95/North/692"
"Florida","I-295","https://www.iexitapp.com/exits/Florida/I-295/North/652"
"Florida","I-10","https://www.iexitapp.com/exits/Florida/I-10/East/649"
"Florida","I-95","https://www.iexitapp.com/exits/Florida/I-95/North/686"
"Florida","I-4","https://www.iexitapp.com/exits/Florida/I-4/East/655"
"Florida","I-75","https://www.iexitapp.com/exits/Florida/I-75/North/577"
"Florida","I-110","https://www.iexitapp.com/exits/Florida/I-110/East/263"
"Florida","I-175","https://www.iexitapp.com/exits/Florida/I-175/North/364"
"Florida","I-275","https://www.iexitapp.com/exits/Florida/I-275/North/365"
"Florida","I-375","https://www.iexitapp.com/exits/Florida/I-375/North/371"
"Florida","I-195","https://www.iexitapp.com/exits/Florida/I-195/North/457"
"Florida","I-595","https://www.iexitapp.com/exits/Florida/I-595/East/479"
"Florida","Ronald Reagan Turnpike","https://www.iexitapp.com/exits/Florida/Ronald%20Reagan%20Turnpike/North/502"
"Florida","Florida's Turnpike","https://www.iexitapp.com/exits/Florida/Florida's%20Turnpike/North/503"
"Florida","Western Beltway","https://www.iexitapp.com/exits/Florida/Western%20Beltway/North/504"
"Florida","417 Toll","https://www.iexitapp.com/exits/Florida/417%20Toll/North/505"
"Florida","FL 528","https://www.iexitapp.com/exits/Florida/FL%20528/East/506"
"Florida","Suncoast Parkway","https://www.iexitapp.com/exits/Florida/Suncoast%20Parkway/North/507"
"Florida","Sawgrass Expressway","https://www.iexitapp.com/exits/Florida/Sawgrass%20Expressway/North/735"
"Georgia","I-95","https://www.iexitapp.com/exits/Georgia/I-95/North/687"
"Georgia","I-20","https://www.iexitapp.com/exits/Georgia/I-20/East/668"
"Georgia","I-59","https://www.iexitapp.com/exits/Georgia/I-59/North/663"
"Georgia","I-16","https://www.iexitapp.com/exits/Georgia/I-16/East/145"
"Georgia","I-24","https://www.iexitapp.com/exits/Georgia/I-24/East/569"
"Georgia","I-75","https://www.iexitapp.com/exits/Georgia/I-75/North/578"
"Georgia","I-85","https://www.iexitapp.com/exits/Georgia/I-85/North/716"
"Georgia","I-516","https://www.iexitapp.com/exits/Georgia/I-516/East/278"
"Georgia","I-520","https://www.iexitapp.com/exits/Georgia/I-520/East/281"
"Georgia","I-475","https://www.iexitapp.com/exits/Georgia/I-475/North/373"
"Georgia","I-575","https://www.iexitapp.com/exits/Georgia/I-575/North/376"
"Georgia","I-675","https://www.iexitapp.com/exits/Georgia/I-675/North/377"
"Georgia","I-185","https://www.iexitapp.com/exits/Georgia/I-185/North/420"
"Georgia","I-285","https://www.iexitapp.com/exits/Georgia/I-285/Inner/422"
"Georgia","I-985","https://www.iexitapp.com/exits/Georgia/I-985/North/426"
"Georgia","GA 400","https://www.iexitapp.com/exits/Georgia/GA%20400/North/529"
"Georgia","GA 316","https://www.iexitapp.com/exits/Georgia/GA%20316/East/728"
"Hawaii","H-1","https://www.iexitapp.com/exits/Hawaii/H-1/East/245"
"Hawaii","H-2","https://www.iexitapp.com/exits/Hawaii/H-2/North/246"
"Hawaii","H-3","https://www.iexitapp.com/exits/Hawaii/H-3/East/247"
"Idaho","I-90","https://www.iexitapp.com/exits/Idaho/I-90/East/50"
"Idaho","I-86","https://www.iexitapp.com/exits/Idaho/I-86/East/82"
"Idaho","I-15","https://www.iexitapp.com/exits/Idaho/I-15/North/91"
"Idaho","I-84","https://www.iexitapp.com/exits/Idaho/I-84/East/216"
"Idaho","I-184","https://www.iexitapp.com/exits/Idaho/I-184/East/417"
"Illinois","I-90","https://www.iexitapp.com/exits/Illinois/I-90/East/56"
"Illinois","I-70","https://www.iexitapp.com/exits/Illinois/I-70/East/69"
"Illinois","I-88","https://www.iexitapp.com/exits/Illinois/I-88/East/85"
"Illinois","I-55","https://www.iexitapp.com/exits/Illinois/I-55/North/118"
"Illinois","I-80","https://www.iexitapp.com/exits/Illinois/I-80/East/133"
"Illinois","I-24","https://www.iexitapp.com/exits/Illinois/I-24/East/566"
"Illinois","I-39","https://www.iexitapp.com/exits/Illinois/I-39/North/163"
"Illinois","I-57","https://www.iexitapp.com/exits/Illinois/I-57/North/172"
"Illinois","I-64","https://www.iexitapp.com/exits/Illinois/I-64/East/174"
"Illinois","I-72","https://www.iexitapp.com/exits/Illinois/I-72/East/185"
"Illinois","I-74","https://www.iexitapp.com/exits/Illinois/I-74/East/188"
"Illinois","I-94","https://www.iexitapp.com/exits/Illinois/I-94/East/239"
"Illinois","I-155","https://www.iexitapp.com/exits/Illinois/I-155/North/324"
"Illinois","I-255","https://www.iexitapp.com/exits/Illinois/I-255/North/326"
"Illinois","IL 255","https://www.iexitapp.com/exits/Illinois/IL%20255/North/327"
"Illinois","I-355","https://www.iexitapp.com/exits/Illinois/I-355/North/328"
"Illinois","I-270","https://www.iexitapp.com/exits/Illinois/I-270/East/347"
"Illinois","I-172","https://www.iexitapp.com/exits/Illinois/I-172/East/362"
"Illinois","I-474","https://www.iexitapp.com/exits/Illinois/I-474/East/363"
"Illinois","I-180","https://www.iexitapp.com/exits/Illinois/I-180/East/392"
"Illinois","I-280","https://www.iexitapp.com/exits/Illinois/I-280/East/396"
"Illinois","I-190","https://www.iexitapp.com/exits/Illinois/I-190/East/431"
"Illinois","I-290","https://www.iexitapp.com/exits/Illinois/I-290/East/434"
"Illinois","I-294","https://www.iexitapp.com/exits/Illinois/I-294/North/451"
"Indiana","I-90","https://www.iexitapp.com/exits/Indiana/I-90/East/57"
"Indiana","I-69","https://www.iexitapp.com/exits/Indiana/I-69/North/62"
"Indiana","I-69","https://www.iexitapp.com/exits/Indiana/I-69/North/63"
"Indiana","I-70","https://www.iexitapp.com/exits/Indiana/I-70/East/70"
"Indiana","I-65","https://www.iexitapp.com/exits/Indiana/I-65/North/659"
"Indiana","I-80","https://www.iexitapp.com/exits/Indiana/I-80/East/134"
"Indiana","I-64","https://www.iexitapp.com/exits/Indiana/I-64/East/175"
"Indiana","I-74","https://www.iexitapp.com/exits/Indiana/I-74/East/189"
"Indiana","I-94","https://www.iexitapp.com/exits/Indiana/I-94/East/240"
"Indiana","I-164","https://www.iexitapp.com/exits/Indiana/I-164/East/332"
"Indiana","I-265","https://www.iexitapp.com/exits/Indiana/I-265/North/339"
"Indiana","I-465","https://www.iexitapp.com/exits/Indiana/I-465/North/340"
"Indiana","I-865","https://www.iexitapp.com/exits/Indiana/I-865/East/342"
"Indiana","I-469","https://www.iexitapp.com/exits/Indiana/I-469/North/343"
"Indiana","I-275","https://www.iexitapp.com/exits/Indiana/I-275/North/368"
"Iowa","I-35","https://www.iexitapp.com/exits/Iowa/I-35/North/684"
"Iowa","I-80","https://www.iexitapp.com/exits/Iowa/I-80/East/132"
"Iowa","I-29","https://www.iexitapp.com/exits/Iowa/I-29/North/157"
"Iowa","I-74","https://www.iexitapp.com/exits/Iowa/I-74/East/187"
"Iowa","I-129","https://www.iexitapp.com/exits/Iowa/I-129/North/290"
"Iowa","I-235","https://www.iexitapp.com/exits/Iowa/I-235/North/299"
"Iowa","I-280","https://www.iexitapp.com/exits/Iowa/I-280/East/395"
"Iowa","I-380","https://www.iexitapp.com/exits/Iowa/I-380/West/400"
"Iowa","I-480","https://www.iexitapp.com/exits/Iowa/I-480/East/403"
"Iowa","I-680","https://www.iexitapp.com/exits/Iowa/I-680/East/409"
"Kansas","I-35","https://www.iexitapp.com/exits/Kansas/I-35/North/682"
"Kansas","I-70","https://www.iexitapp.com/exits/Kansas/I-70/East/67"
"Kansas","I-135","https://www.iexitapp.com/exits/Kansas/I-135/North/296"
"Kansas","I-235","https://www.iexitapp.com/exits/Kansas/I-235/North/298"
"Kansas","I-335","https://www.iexitapp.com/exits/Kansas/I-335/North/300"
"Kansas","I-435","https://www.iexitapp.com/exits/Kansas/I-435/Inner/301"
"Kansas","I-435","https://www.iexitapp.com/exits/Kansas/I-435/Inner/723"
"Kansas","I-635","https://www.iexitapp.com/exits/Kansas/I-635/North/305"
"Kansas","US 75","https://www.iexitapp.com/exits/Kansas/US%2075/North/321"
"Kansas","I-470","https://www.iexitapp.com/exits/Kansas/I-470/East/352"
"Kansas","I-670","https://www.iexitapp.com/exits/Kansas/I-670/East/356"
"Kentucky","I-65","https://www.iexitapp.com/exits/Kentucky/I-65/North/658"
"Kentucky","I-24","https://www.iexitapp.com/exits/Kentucky/I-24/East/567"
"Kentucky","I-64","https://www.iexitapp.com/exits/Kentucky/I-64/East/176"
"Kentucky","I-71","https://www.iexitapp.com/exits/Kentucky/I-71/North/183"
"Kentucky","I-75","https://www.iexitapp.com/exits/Kentucky/I-75/North/580"
"Kentucky","I-264","https://www.iexitapp.com/exits/Kentucky/I-264/East/333"
"Kentucky","I-265","https://www.iexitapp.com/exits/Kentucky/I-265/North/338"
"Kentucky","I-471","https://www.iexitapp.com/exits/Kentucky/I-471/North/360"
"Kentucky","I-275","https://www.iexitapp.com/exits/Kentucky/I-275/North/367"
"Kentucky","Western Kentucky Parkway","https://www.iexitapp.com/exits/Kentucky/Western%20Kentucky%20Parkway/East/493"
"Kentucky","Cumberland Parkway","https://www.iexitapp.com/exits/Kentucky/Cumberland%20Parkway/East/508"
"Kentucky","Purchase Parkway","https://www.iexitapp.com/exits/Kentucky/Purchase%20Parkway/North/509"
"Kentucky","Pennyrile Parkway","https://www.iexitapp.com/exits/Kentucky/Pennyrile%20Parkway/North/510"
"Kentucky","Natcher Parkway","https://www.iexitapp.com/exits/Kentucky/Natcher%20Parkway/North/511"
"Louisiana","I-10","https://www.iexitapp.com/exits/Louisiana/I-10/East/646"
"Louisiana","I-20","https://www.iexitapp.com/exits/Louisiana/I-20/East/665"
"Louisiana","I-55","https://www.iexitapp.com/exits/Louisiana/I-55/North/113"
"Louisiana","I-59","https://www.iexitapp.com/exits/Louisiana/I-59/North/660"
"Louisiana","I-12","https://www.iexitapp.com/exits/Louisiana/I-12/East/144"
"Louisiana","I-49","https://www.iexitapp.com/exits/Louisiana/I-49/North/170"
"Louisiana","I-110","https://www.iexitapp.com/exits/Louisiana/I-110/East/261"
"Louisiana","I-210","https://www.iexitapp.com/exits/Louisiana/I-210/East/265"
"Louisiana","I-310","https://www.iexitapp.com/exits/Louisiana/I-310/East/266"
"Louisiana","I-510","https://www.iexitapp.com/exits/Louisiana/I-510/East/268"
"Louisiana","I-610","https://www.iexitapp.com/exits/Louisiana/I-610/East/270"
"Louisiana","I-910","https://www.iexitapp.com/exits/Louisiana/I-910/East/272"
"Louisiana","I-220","https://www.iexitapp.com/exits/Louisiana/I-220/East/279"
"Louisiana","I-49","https://www.iexitapp.com/exits/Louisiana/I-49/North/731"
"Maine","I-95","https://www.iexitapp.com/exits/Maine/I-95/North/625"
"Maine","I-195","https://www.iexitapp.com/exits/Maine/I-195/North/463"
"Maine","I-295","https://www.iexitapp.com/exits/Maine/I-295/North/469"
"Maine","I-395","https://www.iexitapp.com/exits/Maine/I-395/North/474"
"Maryland","I-95","https://www.iexitapp.com/exits/Maryland/I-95/North/691"
"Maryland","I-70","https://www.iexitapp.com/exits/Maryland/I-70/East/74"
"Maryland","I-68","https://www.iexitapp.com/exits/Maryland/I-68/East/182"
"Maryland","I-81","https://www.iexitapp.com/exits/Maryland/I-81/North/207"
"Maryland","I-83","https://www.iexitapp.com/exits/Maryland/I-83/North/212"
"Maryland","I-97","https://www.iexitapp.com/exits/Maryland/I-97/North/243"
"Maryland","I-270","https://www.iexitapp.com/exits/Maryland/I-270/East/349"
"Maryland","I-370","https://www.iexitapp.com/exits/Maryland/I-370/East/350"
"Maryland","MD 200","https://www.iexitapp.com/exits/Maryland/MD%20200/East/351"
"Maryland","I-195","https://www.iexitapp.com/exits/Maryland/I-195/North/459"
"Maryland","I-295","https://www.iexitapp.com/exits/Maryland/I-295/North/465"
"Maryland","I-295","https://www.iexitapp.com/exits/Maryland/I-295/North/734"
"Maryland","I-495","https://www.iexitapp.com/exits/Maryland/I-495/North/475"
"Maryland","US 50","https://www.iexitapp.com/exits/Maryland/US%2050/East/481"
"Maryland","I-695","https://www.iexitapp.com/exits/Maryland/I-695/North/483"
"Maryland","I-795","https://www.iexitapp.com/exits/Maryland/I-795/North/486"
"Maryland","I-895","https://www.iexitapp.com/exits/Maryland/I-895/North/487"
"Maryland","MD 100","https://www.iexitapp.com/exits/Maryland/MD%20100/East/512"
"Massachusetts","I-95","https://www.iexitapp.com/exits/Massachusetts/I-95/North/623"
"Massachusetts","I-90","https://www.iexitapp.com/exits/Massachusetts/I-90/East/61"
"Massachusetts","I-84","https://www.iexitapp.com/exits/Massachusetts/I-84/East/221"
"Massachusetts","I-91","https://www.iexitapp.com/exits/Massachusetts/I-91/North/230"
"Massachusetts","I-93","https://www.iexitapp.com/exits/Massachusetts/I-93/North/232"
"Massachusetts","I-190","https://www.iexitapp.com/exits/Massachusetts/I-190/East/433"
"Massachusetts","I-290","https://www.iexitapp.com/exits/Massachusetts/I-290/East/436"
"Massachusetts","I-291","https://www.iexitapp.com/exits/Massachusetts/I-291/North/445"
"Massachusetts","I-391","https://www.iexitapp.com/exits/Massachusetts/I-391/North/446"
"Massachusetts","I-195","https://www.iexitapp.com/exits/Massachusetts/I-195/East/462"
"Massachusetts","I-295","https://www.iexitapp.com/exits/Massachusetts/I-295/North/468"
"Massachusetts","I-395","https://www.iexitapp.com/exits/Massachusetts/I-395/North/473"
"Massachusetts","I-495","https://www.iexitapp.com/exits/Massachusetts/I-495/North/478"
"Massachusetts","US 3","https://www.iexitapp.com/exits/Massachusetts/US%203/North/513"
"Massachusetts","MA 3","https://www.iexitapp.com/exits/Massachusetts/MA%203/North/525"
"Michigan","I-69","https://www.iexitapp.com/exits/Michigan/I-69/North/64"
"Michigan","I-75","https://www.iexitapp.com/exits/Michigan/I-75/North/582"
"Michigan","I-94","https://www.iexitapp.com/exits/Michigan/I-94/East/241"
"Michigan","I-96","https://www.iexitapp.com/exits/Michigan/I-96/East/242"
"Michigan","I-275","https://www.iexitapp.com/exits/Michigan/I-275/North/370"
"Michigan","I-375","https://www.iexitapp.com/exits/Michigan/I-375/North/372"
"Michigan","I-475","https://www.iexitapp.com/exits/Michigan/I-475/North/375"
"Michigan","I-675","https://www.iexitapp.com/exits/Michigan/I-675/North/379"
"Michigan","I-194","https://www.iexitapp.com/exits/Michigan/I-194/East/450"
"Michigan","I-196","https://www.iexitapp.com/exits/Michigan/I-196/East/489"
"Michigan","US 131","https://www.iexitapp.com/exits/Michigan/US%20131/North/490"
"Michigan","I-496","https://www.iexitapp.com/exits/Michigan/I-496/East/491"
"Michigan","I-696","https://www.iexitapp.com/exits/Michigan/I-696/East/492"
"Michigan","US 23","https://www.iexitapp.com/exits/Michigan/US%2023/North/528"
"Minnesota","I-35W","https://www.iexitapp.com/exits/Minnesota/I-35W/North/679"
"Minnesota","I-35","https://www.iexitapp.com/exits/Minnesota/I-35/North/685"
"Minnesota","I-90","https://www.iexitapp.com/exits/Minnesota/I-90/East/54"
"Minnesota","I-94","https://www.iexitapp.com/exits/Minnesota/I-94/East/237"
"Minnesota","I-535","https://www.iexitapp.com/exits/Minnesota/I-535/North/304"
"Minnesota","I-394","https://www.iexitapp.com/exits/Minnesota/I-394/East/452"
"Minnesota","I-494","https://www.iexitapp.com/exits/Minnesota/I-494/East/453"
"Minnesota","I-694","https://www.iexitapp.com/exits/Minnesota/I-694/East/454"
"Mississippi","I-10","https://www.iexitapp.com/exits/Mississippi/I-10/East/647"
"Mississippi","I-20","https://www.iexitapp.com/exits/Mississippi/I-20/East/666"
"Mississippi","I-22","https://www.iexitapp.com/exits/Mississippi/I-22/East/100"
"Mississippi","I-55","https://www.iexitapp.com/exits/Mississippi/I-55/North/114"
"Mississippi","I-59","https://www.iexitapp.com/exits/Mississippi/I-59/North/661"
"Mississippi","I-110","https://www.iexitapp.com/exits/Mississippi/I-110/East/262"
"Mississippi","I-220","https://www.iexitapp.com/exits/Mississippi/I-220/East/280"
"Missouri","I-35","https://www.iexitapp.com/exits/Missouri/I-35/North/683"
